word,count,per_million
epochs,4082,173.2
applying,4078,173.0
comparing,4076,173.0
wed-p-,4073,172.8
performs,4060,172.3
filters,4060,172.3
automatically,4057,172.2
useful,4051,171.9
associated,4047,171.7
french,4044,171.6
syllables,4041,171.5
introduce,4040,171.4
blstm,4037,171.3
includes,4035,171.2
key,4027,170.9
probabilities,4017,170.5
explore,4013,170.3
ability,4006,170.0
help,4003,169.9
chosen,3993,169.4
support,3986,169.1
employed,3984,169.1
vocoder,3981,168.9
understanding,3977,168.8
online,3975,168.7
robustness,3970,168.5
gradient,3963,168.2
pair,3960,168.0
turn,3953,167.7
boundaries,3938,167.1
get,3937,167.1
effectiveness,3935,167.0
optimal,3934,166.9
optimization,3928,166.7
bottleneck,3926,166.6
line,3924,166.5
contain,3920,166.3
whole,3904,165.7
shared,3900,165.5
mon-p-,3895,165.3
signi,3895,165.3
librispeech,3890,165.1
discriminative,3889,165.0
vec,3886,164.9
question,3884,164.8
germany,3881,164.7
settings,3881,164.7
represented,3874,164.4
tested,3855,163.6
containing,3850,163.4
presents,3834,162.7
longer,3832,162.6
synthesized,3829,162.5
scenario,3827,162.4
amplitude,3821,162.1
take,3819,162.1
requires,3817,162.0
annotation,3817,162.0
challenging,3812,161.8
potential,3805,161.5
consistent,3805,161.5
makes,3801,161.3
adding,3800,161.2
traditional,3798,161.2
voiced,3794,161.0
student,3781,160.4
version,3774,160.1
complexity,3774,160.1
rst,3774,160.1
called,3768,159.9
boundary,3767,159.8
highly,3764,159.7
neutral,3749,159.1
scheme,3744,158.9
distributions,3732,158.4
activity,3720,157.9
categories,3718,157.8
absolute,3715,157.6
communication,3712,157.5
https,3711,157.5
against,3704,157.2
regions,3701,157.0
wav,3701,157.0
fact,3699,157.0
teacher,3693,156.7
respect,3689,156.5
improving,3688,156.5
likelihood,3686,156.4
pre-training,3681,156.2
implementation,3680,156.2
describe,3679,156.1
speed,3678,156.1
environment,3673,155.9
least,3672,155.8
formant,3665,155.5
base,3665,155.5
mismatch,3660,155.3
variable,3660,155.3
auditory,3656,155.1
contextual,3646,154.7
read,3643,154.6
character,3640,154.5
predictions,3637,154.3
cepstral,3635,154.2
difficult,3629,154.0
tue-p-,3628,154.0
supported,3628,154.0
measured,3624,153.8
domains,3618,153.5
considering,3614,153.4
mel,3610,153.2
strong,3606,153.0
jointly,3605,153.0
kernel,3600,152.8
role,3598,152.7
increasing,3597,152.6
japanese,3590,152.3
relevant,3581,152.0
spatial,3581,152.0
strategies,3579,151.9
goal,3577,151.8
zero,3575,151.7
confidence,3572,151.6
stress,3554,150.8
conversation,3552,150.7
converted,3552,150.7
close,3548,150.6
cluster,3546,150.5
computation,3536,150.0
discussion,3534,150.0
multi-task,3532,149.9
naturalness,3532,149.9
towards,3531,149.8
environments,3525,149.6
minimum,3514,149.1
bert,3503,148.6
require,3499,148.5
address,3494,148.3
accurate,3492,148.2
gain,3486,147.9
entire,3485,147.9
manner,3480,147.7
project,3472,147.3
music,3472,147.3
combining,3472,147.3
build,3467,147.1
reverberation,3461,146.9
criterion,3456,146.7
seconds,3450,146.4
fine-tuning,3444,146.1
latency,3438,145.9
frequencies,3437,145.8
min,3429,145.5
implemented,3425,145.3
