word,count,per_million
conclusions,541,241.0
identification,537,239.2
local,536,238.8
rates,535,238.3
prior,535,238.3
convolution,535,238.3
factor,534,237.9
regression,534,237.9
unsupervised,534,237.9
correct,534,237.9
diarization,534,237.9
include,533,237.5
ctc,533,237.5
dnns,533,237.5
content,531,236.6
derived,531,236.6
dropout,530,236.1
amplitude,528,235.2
mechanism,528,235.2
statistics,527,234.8
speaking,525,233.9
scale,525,233.9
details,524,233.4
five,523,233.0
raw,523,233.0
age,523,233.0
state-of-the-art,522,232.5
simple,514,229.0
point,511,227.6
hand,511,227.6
perception,510,227.2
increase,508,226.3
around,508,226.3
tdnn,508,226.3
general,506,225.4
mapping,506,225.4
particular,505,225.0
known,505,225.0
indicates,505,225.0
